Date,Mkt-RF,SMB,HML,RF
19920114,0.53,-0.31,0.09,0.01
19920115,-0.46,0.27,0.68,0.01
19920116,-0.18,0.34,1.09,0.01
19920117,0.33,0.38,0.04,0.01
19920120,0.31,-0.02,0.36,0.01
19920121,-0.18,-0.36,0.29,0.01
19920122,0.96,-0.48,-0.37,0.01
19920123,-0.53,0.21,0.13,0.01
19920124,-0.26,0.4,0.05,0.01
19920127,-0.9,0.16,0.41,0.01
19920128,0.38,-0.1,0.32,0.01
19920129,-0.35,0.22,0.06,0.01
19920130,-0.1,-0.12,-0.32,0.01
19920131,0.8,0.01,-0.11,0.01
19920203,0.18,0.32,-0.05,0.01
19920204,0.35,0.24,-0.07,0.01
19920205,0.23,0.33,-0.01,0.01
19920206,0.28,0.31,0.1,0.01
19920207,0.01,0.35,0.17,0.01
19920210,-0.61,0.1,0.18,0.01
19920211,-0.31,0.02,0.23,0.01
19920212,-0.46,0.45,-0.09,0.01
19920213,-0.7,0.14,0.25,0.01
19920214,-0.91,0.56,0.32,0.01
19920217,0.31,-0.35,0.06,0.01
19920218,-1.16,0.28,0.79,0.01
19920219,-0.5,0.03,0.4,0.01
19920220,0.58,-0.23,0.05,0.01
19920221,0.24,-0.24,-0.03,0.01
19920224,-0.2,-0.05,0.15,0.01
19920225,-0.27,-0.04,-0.2,0.01
19920226,0.87,-0.31,-0.56,0.01
19920227,0.21,0.25,0.09,0.01
19920228,0.01,0.14,0.08,0.01
19920302,-0.1,0.07,0.15,0.02
19920303,-0.78,0.26,0.12,0.02
19920304,-0.88,0.33,0.22,0.02
19920305,-0.73,0.09,-0.02,0.02
19920306,-0.34,0.1,-0.23,0.02
19920309,-0.2,0.03,0.12,0.02
19920310,-0.12,0.14,-0.1,0.02
19920311,-0.84,0.47,0.05,0.02
19920312,-0.71,0.08,-0.2,0.02
19920313,0.13,-0.08,0.12,0.02
19920316,-0.53,0.12,0.05,0.02
19920317,0.5,-0.14,0.12,0.02
19920318,-0.25,0.25,0.54,0.02
19920319,0.27,-0.67,0.38,0.02
19920320,-0.18,-0.02,0.11,0.02
19920323,0.06,-0.06,0,0.02
19920324,-0.42,-0.06,0.2,0.02
19920325,0.43,-0.21,0.23,0.02
19920326,-0.22,-0.13,0.1,0.02
19920327,-0.42,0.27,0.21,0.02
19920330,-0.17,-0.35,0.34,0.02
19920331,-0.1,0.29,0.16,0.02
19920401,-1.74,0.47,0.11,0.01
19920402,-0.91,0.24,0.36,0.01
19920403,0.27,-0.46,0.16,0.01
19920406,0.8,-0.53,0.01,0.01
19920407,-1.67,0.65,0.73,0.01
19920408,-1.83,0.45,0.06,0.01
19920409,0.57,0.03,-0.32,0.01
19920410,2.44,-1.75,0,0.01
19920413,-0.25,0.2,-0.32,0.01
19920414,1.27,-0.68,-0.13,0.01
19920415,0.9,-0.57,0.29,0.01
19920416,0.07,-0.09,0.49,0.01
19920417,-0.34,0.24,0.06,0.01
19920420,-1.25,0.29,0.75,0.01
19920421,-0.3,-0.07,0.39,0.01
19920422,0.15,-0.07,0.24,0.01
19920423,0.7,-0.66,0.12,0.01
19920424,0.04,0.36,0.21,0.01
19920427,0.29,-0.22,-0.01,0.01
19920428,-0.02,-0.35,0.22,0.01
19920429,0.36,0.06,-0.04,0.01
19920430,0.41,0.41,-0.36,0.01
19920501,0.1,0.46,-0.02,0.01
19920504,0.41,-0.15,-0.14,0.01
19920505,0.11,0.16,0,0.01
19920506,0.91,-0.31,-0.01,0.01
19920507,0.57,-0.36,0.21,0.01
19920508,-0.14,0.12,0.02,0.01
19920511,0.74,0.04,-0.05,0.01
19920512,0.56,0.26,0.08,0.01
19920513,0.38,-0.06,0.03,0.01
19920514,-0.34,0.28,0.2,0.01
19920515,-1.31,0.86,0.08,0.01
19920518,1.39,-0.77,-0.21,0.01
19920519,0.63,-0.45,-0.06,0.01
19920520,-0.09,0.03,0.1,0.01
19920521,-0.68,0.33,0.12,0.01
19920522,0.01,0.13,-0.01,0.01
19920525,0.39,-0.21,0.05,0.01
19920526,-0.46,0.43,0.19,0.01
19920527,-0.92,0.11,0.04,0.01
19920528,0.55,-0.42,-0.27,0.01
19920529,1.23,-0.33,0.3,0.01
19920601,-0.12,0.21,-0.21,0.01
19920602,-0.22,0.35,0.35,0.01
19920603,-0.12,0,0.17,0.01
19920604,-0.29,0.31,0.32,0.01
19920605,0.03,0.03,0.08,0.01
19920608,-0.44,-0.02,0.18,0.01
19920609,-0.37,-0.14,0.05,0.01
19920610,-0.38,-0.05,0.06,0.01
19920611,0.26,-0.37,-0.07,0.01
19920612,-0.24,0.31,-0.13,0.01
19920615,-0.51,0.17,0.02,0.01
19920616,0.05,-0.32,0.22,0.01
19920617,-1.59,0.32,0.12,0.01
19920618,-0.85,0.23,-0.09,0.01
19920619,0.72,-0.6,-0.09,0.01
19920622,-0.83,0.29,-0.15,0.01
19920623,0.26,-0.34,-0.02,0.01
19920624,-0.1,0.17,0.27,0.01
19920625,0.79,-0.6,0.27,0.01
19920626,-0.45,0.35,0.02,0.01
19920629,0.65,-0.12,-0.17,0.01
19920630,0.02,0.14,-0.09,0.01
19920701,0.9,-0.69,-0.24,0.01
19920702,0.67,-0.35,0.09,0.01
19920703,0.02,0.01,-0.01,0.01
19920706,-0.06,-0.11,-0.01,0.01
19920707,-0.43,0.24,0.38,0.01
19920708,-0.24,-0.3,0.04,0.01
19920709,0.1,-0.47,-0.21,0.01
19920710,0.5,0.12,-0.04,0.01
19920713,0.58,-0.07,0.03,0.01
19920714,-0.07,-0.08,-0.21,0.01
19920715,0.23,0.16,-0.11,0.01
19920716,-0.09,0.06,-0.32,0.01
19920717,-0.63,0.47,-0.1,0.01
19920720,-2.2,0.4,-0.13,0.01
19920721,-0.01,-0.23,-0.05,0.01
19920722,-1.4,0.39,0.16,0.01
19920723,0.6,-0.66,-0.1,0.01
19920724,-1.25,0.45,-0.03,0.01
19920727,0.13,0.13,0.01,0.01
19920728,0.82,-0.67,-0.09,0.01
19920729,0.17,-0.6,-0.17,0.01
19920730,0.55,-0.44,-0.15,0.01
19920731,0.56,-0.06,-0.09,0.01
19920803,-0.03,0.02,0.03,0.01
19920804,-0.23,-0.04,0.12,0.01
19920805,-0.27,-0.33,0.08,0.01
19920806,-0.37,-0.09,-0.09,0.01
19920807,-0.58,0.34,-0.07,0.01
19920810,-1.02,0.01,0.09,0.01
19920811,-0.8,-0.09,0.1,0.01
19920812,-0.43,-0.17,-0.12,0.01
19920813,0.26,-0.56,-0.04,0.01
19920814,0.38,-0.52,-0.16,0.01
19920817,0.51,-0.31,-0.01,0.01
